Brand,Company,Date,Product Description,Product Type,Reason,URL
Morovan,Morovan,04/13/2026,Gel Nail Polish Remover (15ml),Cosmetics,Unapproved Methylene Chloride and Chloroform,View Recall
Vital Nutrient,Blueroot Health,04/10/2026,Aller-C Dietary Supplement,Dietary Supplements,"Undeclared egg, hazelnut and soy",View Recall
"Revitaderm, Tridergel","Blaine Labs, Inc.",04/08/2026,Antiseptic wound care gel bottles and tubes,Drugs,"Products were found to contain Lysinibacillus fusiformis, an environmental organism",View Recall
DTF Sexual Chocolate,Nalpac,04/07/2026,Chocolate,Food & Beverages,Undeclared Sildenafil and Tadalafil,View Recall
Karns Foods,Karns Foods,04/03/2026,Mini Dark Chocolate Raspberry Cups,"Food & Beverages, Allergens",May contain undeclared peanut allergen,View Recall
Wawa,Wawa,04/03/2026,"Iced Tea Lemon, Iced Tea Diet Lemon, Diet Lemonade and Fruit Punch","Food & Beverages, Allergens",Potential or Undeclared Allergen – Undeclared Milk,View Recall
RAW FARM,Raw Farm,04/02/2026,"Raw milk cheddar cheese, shredded and block","Food & Beverages, Foodborne Illness",Potential Foodborne Illness – E. coli,View Recall
Kian Pee Wan,Aphreseller,04/01/2026,Dietary supplement capsules marketed for treatment for gaining weight and stimulating appetite.,"Dietary Supplements, Drugs",Device & Drug Safety/Unapproved Drug,View Recall
"Christopher Ranch, Garland",Tops Friendly Markets,04/01/2026,Peeled Garlic,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Clostridium Botulinum,View Recall
Einstein Bros Bagels,"Schreiber Foods, Inc.",03/28/2026,Honey Cream Cheese,"Food & Beverages, Allergens",Undeclared almonds,View Recall
Vital Nutrient,Blueroot Health,03/27/2026,Aller-C Dietary Supplement,"Dietary Supplements, Allergens, Food & Beverages, Allergens","Undeclared egg, hazelnut and soy",View Recall
"Gold Lion, ilum",Gear Isle,03/26/2026,Chocolate,Food & Beverages,Product contains sildenafil and tadalafil,View Recall
Falcon Trading Company,"Falcon Trading Company, Inc.",03/26/2026,"Black Beans Organic , Chili Bean Blend Organic, Sunset Soup Mix Organic",Food & Beverages,Product contains pesticide residue,View Recall
Amneal,Amneal Pharmaceuticals LLC,03/24/2026,"Magnesium Sulfate in Water for Injection, USP, 4g/100mL, IV bag",Drugs,"A Magnesium Sulfate in Water for Injection pouch was found to contain an IV bag of Tranexamic Acid in 0.7% Sodium Chloride Injection, 10 mg/mL.",View Recall
Webcol,Cardinal Health,03/20/2026,Large Alcohol Prep Pads (70% isopropyl alcohol),Drugs,Microbial Contamination,View Recall
Mama Grande,Mama Grande Tortilla Factory,03/18/2026,Gorditas de Azucar and Doraditas de Azucar,"Food & Beverages, Allergens",Undeclared Wheat and Soy,View Recall
"Boner Bear, Red Bull and Blue Bull","Pure Vitamins and Natural Supplements, LLC",03/14/2026,Honey dietary supplement,"Dietary Supplements, Food & Beverages",Product contains sildenafil and tadalafil,View Recall
Omnipod,Insulet Corporation,03/13/2026,Alternate controller enabled insulin infusion pump,Medical Devices,Pods may have a small tear in the internal tubing that delivers insulin. This may leak inside the Pod instead of being fully infused into the body as intended.,View Recall
Favorina,Lidl US,03/12/2026,Chocolate Ladybugs - German-Style Nougat Candy,"Food & Beverages, Allergens",Undeclared hazelnut allergen,View Recall
Primal Herbs,Primal Supplements Group LLC,03/11/2026,Dietary supplement,"Dietary Supplements, Food & Beverages",Product contains sildenafil,View Recall
Miss Vickie’s,Frito-Lay,03/04/2026,Spicy Dill Pickle Potato Chips,Food & Beverages,Undeclared milk allergen,View Recall
RHINO CHOCO VIP 10X,USA LESS Co.,02/27/2026,Chocolate,Food & Beverages,Undeclared Tadalafil,View Recall
Savannah Bee Company,Savannah Bee Company,02/27/2026,BBQ sauce,"Food & Beverages, Allergens",Undeclared wheat and soy,View Recall
Quest,Go Raw LLC.,02/26/2026,Cat Food Chicken Recipe Frozen,"Animal & Veterinary, Pet Food, Food & Beverages, Pet Food",May contain low levels of thiamine (Vitamin B1),View Recall
Boner Bears,Lockout Supplements,02/25/2026,Chocolate syrup,Food & Beverages,Undeclared Sildenafil,View Recall
Great Value,"Saputo Cheese USA, Inc.",02/25/2026,Cottage Cheese,"Food & Beverages, Cheese/Cheese Product",Not fully pasteurized.,View Recall
